YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,5,20,24.87,93.88,98.9,3.55,52.07
2013,1,5,21,24.73,94.44,98.91,3.44,46.29
2013,1,5,22,24.67,94.69,98.88,3.04,41.35
2013,1,5,23,24.62,94.75,98.82,2.61,31.02
2013,1,6,0,24.59,94.75,98.75,2.45,12.35
2013,1,6,1,24.57,94.81,98.71,2.43,354.09
2013,1,6,2,24.5,95.0,98.7,2.38,332.43
2013,1,6,3,24.36,95.44,98.73,2.49,306.19
2013,1,6,4,24.22,95.69,98.78,2.92,287.46
2013,1,6,5,24.17,95.38,98.83,3.16,272.83
2013,1,6,6,25.01,92.0,98.9,3.84,258.96
2013,1,6,7,25.58,88.19,98.96,4.53,262.57
2013,1,6,8,26.34,84.44,99.02,5.08,276.0
2013,1,6,9,27.1,80.56,99.02,5.54,285.78
2013,1,6,10,27.87,77.0,98.98,5.52,287.13
2013,1,6,11,28.55,74.06,98.92,5.33,284.26
2013,1,6,12,28.88,72.75,98.84,5.14,279.89
2013,1,6,13,28.93,72.56,98.79,5.17,273.81
2013,1,6,14,28.56,73.94,98.74,5.28,268.31
2013,1,6,15,28.01,77.19,98.75,5.06,263.8
2013,1,6,16,27.34,81.06,98.81,4.6,262.59
2013,1,6,17,26.36,86.75,98.9,4.02,265.32
2013,1,6,18,25.71,90.81,99.0,3.68,272.43
2013,1,6,19,25.46,92.31,99.06,3.7,284.04
2013,1,6,20,25.26,93.38,99.09,3.82,294.41
2013,1,6,21,25.08,93.88,99.07,4.15,300.58
2013,1,6,22,24.89,94.19,99.02,4.81,300.02
2013,1,6,23,24.71,94.62,98.93,5.87,292.95
2013,1,7,0,24.63,95.19,98.85,6.87,280.42
2013,1,7,1,24.7,94.94,98.8,7.59,266.34
2013,1,7,2,24.75,93.94,98.82,7.69,255.77
2013,1,7,3,24.69,93.38,98.84,7.27,251.64
2013,1,7,4,24.65,93.19,98.89,6.82,253.35
2013,1,7,5,24.72,93.19,98.95,6.42,256.13
2013,1,7,6,25.16,92.69,99.02,6.47,256.17
2013,1,7,7,25.62,91.44,99.08,7.21,251.74
2013,1,7,8,25.79,90.5,99.11,7.66,248.51
2013,1,7,9,25.88,90.0,99.08,7.69,248.73
2013,1,7,10,26.07,88.88,99.04,7.56,248.53
2013,1,7,11,26.2,87.62,99.03,7.31,246.42
2013,1,7,12,26.03,87.88,98.99,7.15,246.85
2013,1,7,13,25.76,88.44,98.93,7.16,253.58
2013,1,7,14,25.54,88.94,98.88,7.03,258.72
2013,1,7,15,25.37,89.56,98.89,6.64,262.5
2013,1,7,16,25.16,90.69,98.94,6.19,265.22
2013,1,7,17,24.75,91.88,99.01,5.87,265.42
2013,1,7,18,24.44,92.75,99.08,5.84,263.55
2013,1,7,19,24.36,92.5,99.12,5.92,260.43
2013,1,7,20,24.35,91.88,99.13,5.93,257.91
2013,1,7,21,24.34,91.19,99.11,5.87,256.83
2013,1,7,22,24.33,90.5,99.06,5.72,257.69
2013,1,7,23,24.36,89.94,99.0,5.71,260.07
2013,1,8,0,24.3,89.94,98.94,5.43,263.39
2013,1,8,1,24.19,90.31,98.9,5.01,267.05
2013,1,8,2,24.12,90.5,98.88,4.67,271.05
2013,1,8,3,24.04,90.81,98.87,4.3,274.89
2013,1,8,4,23.99,90.94,98.92,4.08,274.61
2013,1,8,5,24.07,90.75,98.99,4.2,271.92
2013,1,8,6,24.69,89.38,99.06,4.86,269.54
2013,1,8,7,25.3,87.81,99.11,5.55,265.72
2013,1,8,8,25.92,85.12,99.14,6.18,260.25
2013,1,8,9,26.26,83.12,99.13,6.48,256.9
2013,1,8,10,26.34,82.94,99.1,6.44,255.1
2013,1,8,11,26.32,83.44,99.06,6.4,254.49
2013,1,8,12,26.21,84.12,99.0,6.46,255.14
