YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,5,20,24.25,92.31,98.8,3.98,303.16
2013,1,5,21,24.19,92.12,98.8,4.04,303.07
2013,1,5,22,24.09,92.12,98.76,3.89,302.7
2013,1,5,23,23.98,92.06,98.69,3.68,303.93
2013,1,6,0,23.87,92.31,98.59,3.22,308.01
2013,1,6,1,23.76,92.56,98.51,2.73,313.14
2013,1,6,2,23.62,92.88,98.48,2.39,312.35
2013,1,6,3,23.54,92.94,98.48,1.95,304.39
2013,1,6,4,23.51,92.25,98.52,1.4,285.81
2013,1,6,5,23.44,92.44,98.59,0.91,253.11
2013,1,6,6,23.88,92.31,98.66,1.06,205.25
2013,1,6,7,24.42,90.12,98.72,2.05,206.96
2013,1,6,8,24.63,89.25,98.78,3.5,224.82
2013,1,6,9,24.77,88.56,98.82,4.72,233.76
2013,1,6,10,24.95,86.38,98.83,5.07,238.49
2013,1,6,11,25.51,82.75,98.79,5.18,244.36
2013,1,6,12,26.12,79.75,98.73,5.55,250.67
2013,1,6,13,26.26,79.06,98.67,5.81,252.15
2013,1,6,14,26.16,79.44,98.62,5.78,248.26
2013,1,6,15,25.9,80.19,98.62,5.61,244.08
2013,1,6,16,25.54,81.25,98.65,5.31,244.94
2013,1,6,17,25.01,84.06,98.72,4.54,250.07
2013,1,6,18,24.54,86.25,98.81,3.97,255.28
2013,1,6,19,24.41,86.31,98.87,3.66,257.06
2013,1,6,20,24.31,86.44,98.92,3.4,261.14
2013,1,6,21,24.26,86.94,98.94,3.56,267.86
2013,1,6,22,24.24,87.56,98.94,4.16,271.4
2013,1,6,23,24.11,88.44,98.91,4.94,273.27
2013,1,7,0,23.85,89.5,98.87,5.25,275.72
2013,1,7,1,23.57,89.88,98.82,4.87,276.82
2013,1,7,2,23.33,88.94,98.77,4.14,274.12
2013,1,7,3,23.23,87.0,98.73,3.46,271.68
2013,1,7,4,23.21,85.44,98.74,2.95,273.64
2013,1,7,5,23.33,84.19,98.76,2.47,279.28
2013,1,7,6,24.35,82.94,98.8,2.08,281.27
2013,1,7,7,25.55,77.94,98.83,2.24,278.61
2013,1,7,8,26.52,73.62,98.85,2.8,276.57
2013,1,7,9,27.29,72.5,98.84,3.01,275.65
2013,1,7,10,27.87,71.75,98.82,3.36,271.6
2013,1,7,11,28.16,71.62,98.78,3.79,267.16
2013,1,7,12,28.17,72.31,98.73,4.07,263.28
2013,1,7,13,27.97,73.69,98.69,4.27,261.69
2013,1,7,14,27.6,75.31,98.64,4.3,261.53
2013,1,7,15,27.15,77.38,98.66,4.1,259.78
2013,1,7,16,26.57,80.5,98.71,3.83,256.45
2013,1,7,17,25.79,85.81,98.77,3.41,253.48
2013,1,7,18,25.07,90.31,98.84,3.12,250.52
2013,1,7,19,24.83,91.25,98.9,3.33,247.77
2013,1,7,20,24.69,91.5,98.93,3.48,246.84
2013,1,7,21,24.61,91.38,98.93,3.6,245.66
2013,1,7,22,24.56,91.5,98.89,3.66,245.29
2013,1,7,23,24.5,92.0,98.82,3.6,247.78
2013,1,8,0,24.45,92.25,98.76,3.73,252.93
2013,1,8,1,24.42,92.25,98.7,3.88,258.37
2013,1,8,2,24.46,91.94,98.66,3.9,262.52
2013,1,8,3,24.52,91.69,98.66,4.01,263.84
2013,1,8,4,24.56,91.25,98.69,4.06,261.82
2013,1,8,5,24.61,90.5,98.75,3.94,259.14
2013,1,8,6,25.43,88.31,98.82,4.13,256.23
2013,1,8,7,26.15,85.12,98.89,4.75,256.79
2013,1,8,8,26.75,81.62,98.92,5.13,260.44
2013,1,8,9,27.27,78.88,98.92,5.31,264.0
2013,1,8,10,27.55,77.62,98.9,5.69,267.17
2013,1,8,11,27.59,77.81,98.86,6.21,268.77
2013,1,8,12,27.5,78.31,98.8,6.66,269.13
2013,1,8,13,27.26,79.06,98.74,6.96,268.52
2013,1,8,14,26.9,80.44,98.69,6.99,267.69
2013,1,8,15,26.42,82.75,98.67,6.74,266.81
2013,1,8,16,25.98,85.62,98.7,6.09,264.26
