YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,5,21,24.17,97.5,95.81,2.42,337.65
2013,1,5,22,24.28,96.69,95.84,2.46,314.87
2013,1,5,23,24.19,96.25,95.81,2.52,295.77
2013,1,6,0,24.08,95.75,95.75,2.78,285.17
2013,1,6,1,23.93,95.5,95.69,2.98,284.11
2013,1,6,2,23.76,95.44,95.67,3.02,283.03
2013,1,6,3,23.6,95.44,95.67,2.9,277.58
2013,1,6,4,23.45,95.44,95.7,2.77,270.65
2013,1,6,5,23.31,95.44,95.76,2.64,267.46
2013,1,6,6,23.51,94.38,95.83,2.65,267.64
2013,1,6,7,24.28,90.94,95.91,3.09,268.26
2013,1,6,8,25.05,86.81,95.96,2.99,270.3
2013,1,6,9,25.99,82.44,95.97,2.82,273.17
2013,1,6,10,26.76,79.06,95.96,2.65,280.88
2013,1,6,11,27.08,78.56,95.92,2.46,293.56
2013,1,6,12,27.23,78.31,95.89,2.53,306.2
2013,1,6,13,27.11,78.75,95.81,2.78,315.23
2013,1,6,14,26.61,81.69,95.75,3.15,322.45
2013,1,6,15,26.03,85.38,95.7,3.4,325
2013,1,6,16,25.48,89.31,95.71,3.27,325.89
2013,1,6,17,25.06,92.5,95.77,2.94,325.93
2013,1,6,18,24.8,94.56,95.83,2.38,329.23
2013,1,6,19,24.62,95.56,95.9,2.36,331.91
2013,1,6,20,24.5,95.81,95.94,2.44,329.82
2013,1,6,21,24.34,96.19,95.92,2.46,325.35
2013,1,6,22,24.15,96.69,95.87,2.35,319.32
2013,1,6,23,23.95,97.06,95.77,2.37,314.07
2013,1,7,0,23.82,97.25,95.73,2.21,301.1
2013,1,7,1,23.79,96.81,95.7,2.38,272.82
2013,1,7,2,23.96,95.75,95.69,2.98,252.61
2013,1,7,3,23.71,96.25,95.71,2.69,250.3
2013,1,7,4,23.56,96.19,95.73,2.72,246.61
2013,1,7,5,23.57,95.38,95.76,2.14,245.68
2013,1,7,6,23.69,94.06,95.83,1.59,248.09
2013,1,7,7,24.31,92.31,95.89,1.03,266.53
2013,1,7,8,24.81,89.94,95.91,1.05,320.41
2013,1,7,9,24.87,88.38,95.92,1.95,330.77
2013,1,7,10,24.86,88.88,95.9,2.53,322.67
2013,1,7,11,25.17,87.25,95.84,3.26,308.08
2013,1,7,12,25.65,83.81,95.76,4.14,299.61
2013,1,7,13,25.97,81.69,95.66,4.82,304.36
2013,1,7,14,25.95,82.75,95.58,5.46,311.17
2013,1,7,15,25.6,86.19,95.51,6.27,308.73
2013,1,7,16,25.26,89.69,95.49,6.68,299.32
2013,1,7,17,25.05,91.38,95.5,7.09,285.86
2013,1,7,18,24.84,92.06,95.6,7.2,268.88
2013,1,7,19,24.6,92.62,95.72,6.88,254.05
2013,1,7,20,24.41,92.94,95.82,6.32,251.32
2013,1,7,21,24.25,92.88,95.86,5.63,254.13
2013,1,7,22,24.05,92.81,95.86,5.29,259.7
2013,1,7,23,23.84,92.44,95.8,4.71,264.87
2013,1,8,0,23.63,92.69,95.73,3.95,266.6
2013,1,8,1,23.43,93.19,95.7,3.17,268.17
2013,1,8,2,23.26,93.62,95.69,2.53,273.37
2013,1,8,3,23.22,93.19,95.68,2.28,281.27
2013,1,8,4,23.17,92.81,95.7,2.36,289.93
2013,1,8,5,23.14,92.56,95.75,2.52,294.58
2013,1,8,6,23.27,91.94,95.79,2.88,298.16
2013,1,8,7,23.77,90.62,95.82,3.91,299.59
2013,1,8,8,24.18,89,95.85,4.82,291.61
2013,1,8,9,24.83,85.69,95.86,5.27,280.08
2013,1,8,10,25.64,81.06,95.84,5.64,269.52
2013,1,8,11,26.29,76.94,95.8,5.96,259.74
2013,1,8,12,26.62,75.12,95.74,6.1,251.5
2013,1,8,13,26.8,74.69,95.66,6.19,245.41
2013,1,8,14,26.8,75.31,95.59,6,242.87
2013,1,8,15,26.43,77.19,95.56,5.59,242.43
2013,1,8,16,25.97,79.75,95.56,4.93,245.38
2013,1,8,17,25.35,83.56,95.61,4.24,249.73
2013,1,8,18,24.62,88.31,95.68,3.33,253.78
2013,1,8,19,24.24,90.75,95.73,3.23,254.99
2013,1,8,20,24.18,91.62,95.77,3.52,254.7
2013,1,8,21,24.12,92.06,95.79,3.69,255.02
2013,1,8,22,24.07,92.38,95.77,3.78,256.02
2013,1,8,23,23.97,92.56,95.72,3.61,257.11
2013,1,9,0,23.73,93.38,95.65,2.93,261.72
2013,1,9,1,23.51,93.75,95.58,2.7,270
2013,1,9,2,23.4,93.5,95.55,2.78,280.84
2013,1,9,3,23.36,93.25,95.55,3.13,290.42
2013,1,9,4,23.3,93.25,95.58,3.62,297.78
2013,1,9,5,23.27,93.12,95.63,4.36,295.56
2013,1,9,6,23.25,92.94,95.68,4.69,291.82
2013,1,9,7,23.73,91,95.72,5.26,289.81
2013,1,9,8,24.47,86.25,95.73,5.89,287.21
2013,1,9,9,25.45,80.31,95.69,6.55,283.66
2013,1,9,10,26.45,75.25,95.64,6.89,280.32
2013,1,9,11,27.23,72.06,95.58,6.74,278.73
2013,1,9,12,27.67,70.75,95.52,6.44,279.71
2013,1,9,13,27.95,70.12,95.42,6.37,282.76
2013,1,9,14,28.04,69.69,95.34,6.56,286.54
2013,1,9,15,27.68,71.75,95.29,6.63,290.97
2013,1,9,16,26.93,75.88,95.32,6.38,293.05
2013,1,9,17,26.11,80.75,95.41,5.83,292.3
2013,1,9,18,25.26,86.12,95.5,5.14,292.04
2013,1,9,19,24.77,89.81,95.57,4.79,291.54
2013,1,9,20,24.59,91.44,95.63,4.92,289.79
2013,1,9,21,24.46,91.5,95.65,5.5,286.84
2013,1,9,22,24.26,91.44,95.62,6.2,284.96
2013,1,9,23,24.08,91.31,95.58,7.01,284.05
